DisNo.,Classification Key,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Location,OFDA/BHA Response,Declaration,Magnitude,Magnitude Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2004-0245-USA,nat-met-sto-hai,Meteorological,Storm,Hail,USA,United States of America,Northern America,"Morgan, Sangamon, Scott districts (Illinois province), Clark, Floyd, Washington districts (Indiana province), Adair, Appanoose, Benton, Clay, Dallas, Grundy, Humboldt, Jones, Linn, Marshall, Pocahontas, Story, Warren districts (Iowa province), Jackson, Linn, Shawnee, Republic districts (Kansas province), Estill, Fayette, Henderson, Henry, Magoffin, Martin, Powell, Pulaski districts (Kentucky province), Washington district (Maryland province), Sanilac, St. Clair, Tuscola districts (Michigan province), Gentry, Holt, Linn, Livingston, Macon, St. Clair districts (Missouri province), Adams, Cass, Clay, Custer, Franklin, Fillmore, Furnas, Gage, Harlan, Jefferson, Lancaster, Nuckolls, Otoe, Saline, Thayer, Webster, York districts (Nebraska province), Broome, Delaware districts (New York province), Athens, Brown, Fayette, Perry, Ross districts (Ohio province), Caddo, Noble, Osage, Pawnee, Tillman districts (Oklahoma province), Crawford district (Pennsylvania province), Hawkins district (Tennessee province), Nolan, Taylor, Val Verde districts (Texas province), Lancaster, Lee, Loudoun, Scott districts (Virginia province), Berkeley district (West Virginia province), Manitowoc, Dane, Columbia districts (Wisconsin province), North Carolina, South Carolina provinces",No,No,,Kph,2004,5,21.0,2004,5.0,27.0,5.0,37.0,6000.0,408.0,6445.0,800000.0,1290539.0,1100000.0,1774492.0,61.98958593,"[{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm2_code"":29341,""adm2_name"":""Morgan""},{""adm2_code"":29355,""adm2_name"":""Sangamon""},{""adm2_code"":29357,""adm2_name"":""Scott""},{""adm2_code"":29384,""adm2_name"":""Clark""},{""adm2_code"":29396,""adm2_name"":""Floyd""},{""adm2_code"":29462,""adm2_name"":""Washington""},{""adm2_code"":29467,""adm2_name"":""Adair""},{""adm2_code"":29470,""adm2_name"":""Appanoose""},{""adm2_code"":29472,""adm2_name"":""Benton""},{""adm2_code"":29487,""adm2_name"":""Clay""},{""adm2_code"":29491,""adm2_name"":""Dallas""},{""adm2_code"":29504,""adm2_name"":""Grundy""},{""adm2_code"":29512,""adm2_name"":""Humboldt""},{""adm2_code"":29519,""adm2_name"":""Jones""},{""adm2_code"":29523,""adm2_name"":""Linn""},{""adm2_code"":29530,""adm2_name"":""Marshall""},{""adm2_code"":29542,""adm2_name"":""Pocahontas""},{""adm2_code"":29551,""adm2_name"":""Story""},{""adm2_code"":29557,""adm2_name"":""Warren""},{""adm2_code"":29608,""adm2_name"":""Jackson""},{""adm2_code"":29619,""adm2_name"":""Linn""},{""adm2_code"":29644,""adm2_name"":""Republic""},{""adm2_code"":29654,""adm2_name"":""Shawnee""},{""adm2_code"":29703,""adm2_name"":""Estill""},{""adm2_code"":29704,""adm2_name"":""Fayette""},{""adm2_code"":29721,""adm2_name"":""Henderson""},{""adm2_code"":29722,""adm2_name"":""Henry""},{""adm2_code"":29744,""adm2_name"":""Magoffin""},{""adm2_code"":29747,""adm2_name"":""Martin""},{""adm2_code"":29769,""adm2_name"":""Powell""},{""adm2_code"":29770,""adm2_name"":""Pulaski""},{""adm2_code"":29892,""adm2_name"":""Washington""},{""adm2_code"":29982,""adm2_name"":""Sanilac""},{""adm2_code"":29985,""adm2_name"":""St. Clair""},{""adm2_code"":29987,""adm2_name"":""Tuscola""},{""adm2_code"":30198,""adm2_name"":""Gentry""},{""adm2_code"":30204,""adm2_name"":""Holt""},{""adm2_code"":30218,""adm2_name"":""Linn""},{""adm2_code"":30219,""adm2_name"":""Livingston""},{""adm2_code"":30220,""adm2_name"":""Macon""},{""adm2_code"":30259,""adm2_name"":""St. Clair""},{""adm2_code"":30332,""adm2_name"":""Adams""},{""adm2_code"":30344,""adm2_name"":""Cass""},{""adm2_code"":30349,""adm2_name"":""Clay""},{""adm2_code"":30352,""adm2_name"":""Custer""},{""adm2_code"":30361,""adm2_name"":""Fillmore""},{""adm2_code"":30362,""adm2_name"":""Franklin""},{""adm2_code"":30364,""adm2_name"":""Furnas""},{""adm2_code"":30365,""adm2_name"":""Gage""},{""adm2_code"":30373,""adm2_name"":""Harlan""},{""adm2_code"":30379,""adm2_name"":""Jefferson""},{""adm2_code"":30386,""adm2_name"":""Lancaster""},{""adm2_code"":30396,""adm2_name"":""Nuckolls""},{""adm2_code"":30397,""adm2_name"":""Otoe""},{""adm2_code"":30407,""adm2_name"":""Saline""},{""adm2_code"":30416,""adm2_name"":""Thayer""},{""adm2_code"":30421,""adm2_name"":""Webster""},{""adm2_code"":30423,""adm2_name"":""York""},{""adm2_code"":30508,""adm2_name"":""Broome""},{""adm2_code"":30517,""adm2_name"":""Delaware""},{""adm2_code"":30724,""adm2_name"":""Athens""},{""adm2_code"":30727,""adm2_name"":""Brown""},{""adm2_code"":30743,""adm2_name"":""Fayette""},{""adm2_code"":30783,""adm2_name"":""Perry""},{""adm2_code"":30790,""adm2_name"":""Ross""},{""adm2_code"":30815,""adm2_name"":""Caddo""},{""adm2_code"":30859,""adm2_name"":""Noble""},{""adm2_code"":30864,""adm2_name"":""Osage""},{""adm2_code"":30866,""adm2_name"":""Pawnee""},{""adm2_code"":30878,""adm2_name"":""Tillman""},{""adm2_code"":30940,""adm2_name"":""Crawford""},{""adm2_code"":31141,""adm2_name"":""Hawkins""},{""adm2_code"":31376,""adm2_name"":""Nolan""},{""adm2_code"":31420,""adm2_name"":""Taylor""},{""adm2_code"":31432,""adm2_name"":""Val Verde""},{""adm2_code"":31565,""adm2_name"":""Lancaster""},{""adm2_code"":31566,""adm2_name"":""Lee""},{""adm2_code"":31568,""adm2_name"":""Loudoun""},{""adm2_code"":31609,""adm2_name"":""Scott""},{""adm2_code"":31670,""adm2_name"":""Berkeley""},{""adm2_code"":31734,""adm2_name"":""Columbia""},{""adm2_code"":31736,""adm2_name"":""Dane""},{""adm2_code"":31759,""adm2_name"":""Manitowoc""}]",2005-03-23,2023-09-25
2004-0249-USA,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,USA,United States of America,Northern America,"Geneva, Jefferson, Lauderdale, Limestone, Madison districts (Alabama province), Cross, Mississippi, Nevada districts (Arkansas province), Crawford, Jefferson, Logan, Perry, Washington districts (Illinois province), Clark, Crawford, Hamilton, Hancock, Hendricks, Jackson, Madison, Marion, Monroe, Morgan, Miami, Owen, Tippecanoe, Vanderburgh, Warrick, Washington districts (Indiana province), Buchanan, Lee, Iowa districts (Iowa province), Cloud, Harper, Marshall, Republic, Sumner districts (Kansas province), Henry, Hopkins, Jefferson, Knox, Muhlenberg, McCracken, Webster districts (Kentucky province), St. Clair district (Michigan province), Tippah district (Mississippi province), Buchanan, Clinton, DeKalb, Daviess, Harrison, Laclede, Platte, St. Louis districts (Missouri province), Holt, Lincoln districts (Nebraska province), Adams district (Ohio province), Blaine, Canadian, Creek, Custer, Kingfisher, Mayes, Oklahoma, Tulsa, Wagoner districts (Oklahoma province), Brown, Edmunds, Clay districts (South Dakota province), Bedford, Bradley, Lincoln, Franklin, Giles, Grundy, Hardin, Moore districts (Tennessee province), Cottle, Houston, Tarrant districts (Texas province), Boone, Braxton, Cabell, Jackson, Kanawha, Lewis, Logan, Mason, Morgan, Mingo, Putnam, Upshur, Wayne, Wood, Wyoming districts (West Virginia province), Louisiana province",No,Yes,,Kph,2004,5,29.0,2004,6.0,2.0,10.0,,1000.0,,1000.0,450000.0,725928.0,700000.0,1129222.0,61.98958593,"[{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm2_code"":28721,""adm2_name"":""Geneva""},{""adm2_code"":28727,""adm2_name"":""Jefferson""},{""adm2_code"":28729,""adm2_name"":""Lauderdale""},{""adm2_code"":28732,""adm2_name"":""Limestone""},{""adm2_code"":28735,""adm2_name"":""Madison""},{""adm2_code"":28808,""adm2_name"":""Cross""},{""adm2_code"":28836,""adm2_name"":""Mississippi""},{""adm2_code"":28839,""adm2_name"":""Nevada""},{""adm2_code"":29289,""adm2_name"":""Crawford""},{""adm2_code"":29313,""adm2_name"":""Jefferson""},{""adm2_code"":29326,""adm2_name"":""Logan""},{""adm2_code"":29345,""adm2_name"":""Perry""},{""adm2_code"":29367,""adm2_name"":""Washington""},{""adm2_code"":29384,""adm2_name"":""Clark""},{""adm2_code"":29387,""adm2_name"":""Crawford""},{""adm2_code"":29403,""adm2_name"":""Hamilton""},{""adm2_code"":29404,""adm2_name"":""Hancock""},{""adm2_code"":29406,""adm2_name"":""Hendricks""},{""adm2_code"":29410,""adm2_name"":""Jackson""},{""adm2_code"":29422,""adm2_name"":""Madison""},{""adm2_code"":29423,""adm2_name"":""Marion""},{""adm2_code"":29426,""adm2_name"":""Miami""},{""adm2_code"":29427,""adm2_name"":""Monroe""},{""adm2_code"":29429,""adm2_name"":""Morgan""},{""adm2_code"":29434,""adm2_name"":""Owen""},{""adm2_code"":29453,""adm2_name"":""Tippecanoe""},{""adm2_code"":29456,""adm2_name"":""Vanderburgh""},{""adm2_code"":29461,""adm2_name"":""Warrick""},{""adm2_code"":29462,""adm2_name"":""Washington""},{""adm2_code"":29476,""adm2_name"":""Buchanan""},{""adm2_code"":29514,""adm2_name"":""Iowa""},{""adm2_code"":29522,""adm2_name"":""Lee""},{""adm2_code"":29580,""adm2_name"":""Cloud""},{""adm2_code"":29604,""adm2_name"":""Harper""},{""adm2_code"":29623,""adm2_name"":""Marshall""},{""adm2_code"":29644,""adm2_name"":""Republic""},{""adm2_code"":29661,""adm2_name"":""Sumner""},{""adm2_code"":29722,""adm2_name"":""Henry""},{""adm2_code"":29724,""adm2_name"":""Hopkins""},{""adm2_code"":29726,""adm2_name"":""Jefferson""},{""adm2_code"":29731,""adm2_name"":""Knox""},{""adm2_code"":29749,""adm2_name"":""McCracken""},{""adm2_code"":29759,""adm2_name"":""Muhlenberg""},{""adm2_code"":29787,""adm2_name"":""Webster""},{""adm2_code"":29985,""adm2_name"":""St. Clair""},{""adm2_code"":30148,""adm2_name"":""Tippah""},{""adm2_code"":30171,""adm2_name"":""Buchanan""},{""adm2_code"":30185,""adm2_name"":""Clinton""},{""adm2_code"":30191,""adm2_name"":""Daviess""},{""adm2_code"":30192,""adm2_name"":""DeKalb""},{""adm2_code"":30201,""adm2_name"":""Harrison""},{""adm2_code"":30213,""adm2_name"":""Laclede""},{""adm2_code"":30243,""adm2_name"":""Platte""},{""adm2_code"":30261,""adm2_name"":""St. Louis""},{""adm2_code"":30262,""adm2_name"":""St. Louis""},{""adm2_code"":30376,""adm2_name"":""Holt""},{""adm2_code"":30387,""adm2_name"":""Lincoln""},{""adm2_code"":30720,""adm2_name"":""Adams""},{""adm2_code"":30813,""adm2_name"":""Blaine""},{""adm2_code"":30816,""adm2_name"":""Canadian""},{""adm2_code"":30826,""adm2_name"":""Creek""},{""adm2_code"":30827,""adm2_name"":""Custer""},{""adm2_code"":30844,""adm2_name"":""Kingfisher""},{""adm2_code"":30853,""adm2_name"":""Mayes""},{""adm2_code"":30862,""adm2_name"":""Oklahoma""},{""adm2_code"":30879,""adm2_name"":""Tulsa""},{""adm2_code"":30880,""adm2_name"":""Wagoner""},{""adm2_code"":31044,""adm2_name"":""Brown""},{""adm2_code"":31051,""adm2_name"":""Clay""},{""adm2_code"":31060,""adm2_name"":""Edmunds""},{""adm2_code"":31106,""adm2_name"":""Bedford""},{""adm2_code"":31110,""adm2_name"":""Bradley""},{""adm2_code"":31130,""adm2_name"":""Franklin""},{""adm2_code"":31132,""adm2_name"":""Giles""},{""adm2_code"":31135,""adm2_name"":""Grundy""},{""adm2_code"":31140,""adm2_name"":""Hardin""},{""adm2_code"":31156,""adm2_name"":""Lincoln""},{""adm2_code"":31168,""adm2_name"":""Moore""},{""adm2_code"":31250,""adm2_name"":""Cottle""},{""adm2_code"":31312,""adm2_name"":""Houston""},{""adm2_code"":31419,""adm2_name"":""Tarrant""},{""adm2_code"":31671,""adm2_name"":""Boone""},{""adm2_code"":31672,""adm2_name"":""Braxton""},{""adm2_code"":31674,""adm2_name"":""Cabell""},{""adm2_code"":31686,""adm2_name"":""Jackson""},{""adm2_code"":31688,""adm2_name"":""Kanawha""},{""adm2_code"":31689,""adm2_name"":""Lewis""},{""adm2_code"":31691,""adm2_name"":""Logan""},{""adm2_code"":31694,""adm2_name"":""Mason""},{""adm2_code"":31698,""adm2_name"":""Mingo""},{""adm2_code"":31701,""adm2_name"":""Morgan""},{""adm2_code"":31708,""adm2_name"":""Putnam""},{""adm2_code"":31717,""adm2_name"":""Upshur""},{""adm2_code"":31718,""adm2_name"":""Wayne""},{""adm2_code"":31722,""adm2_name"":""Wood""},{""adm2_code"":31723,""adm2_name"":""Wyoming""}]",2005-03-23,2023-09-25
2004-0338-USA,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,USA,United States of America,Northern America,"Milam, Guadalupe, Bexar districts (Texas province), Eagle district (Colorado province), Mississippi province, Richland district (South Carolina province), Franklinton city (Washington district, Louisiana province), Bufford city (Gwinnett district, Georgia province)",No,No,,Kph,2004,6,28.0,2004,6.0,28.0,4.0,6.0,307.0,,313.0,,,170.0,274.0,61.98958593,"[{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm2_code"":28941,""adm2_name"":""Eagle""},{""adm2_code"":29131,""adm2_name"":""Gwinnett""},{""adm2_code"":29849,""adm2_name"":""Washington""},{""adm2_code"":31032,""adm2_name"":""Richland""},{""adm2_code"":31214,""adm2_name"":""Bexar""},{""adm2_code"":31293,""adm2_name"":""Guadalupe""},{""adm2_code"":31365,""adm2_name"":""Milam""}]",2004-07-12,2023-09-25
2004-0415-USA,nat-met-sto-tro,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), South Carolina, North Carolina provinces",No,Yes,230.0,Kph,2004,8,13.0,2004,8.0,13.0,10.0,,30000.0,,30000.0,7600000.0,12260124.0,16000000.0,25810787.0,61.98958593,"[{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm2_code"":29000,""adm2_name"":""Bay""},{""adm2_code"":29004,""adm2_name"":""Calhoun""},{""adm2_code"":29013,""adm2_name"":""Escambia""},{""adm2_code"":29015,""adm2_name"":""Franklin""},{""adm2_code"":29016,""adm2_name"":""Gadsden""},{""adm2_code"":29019,""adm2_name"":""Gulf""},{""adm2_code"":29026,""adm2_name"":""Holmes""},{""adm2_code"":29028,""adm2_name"":""Jackson""},{""adm2_code"":29029,""adm2_name"":""Jefferson""},{""adm2_code"":29033,""adm2_name"":""Leon""},{""adm2_code"":29035,""adm2_name"":""Liberty""},{""adm2_code"":29036,""adm2_name"":""Madison""},{""adm2_code"":29043,""adm2_name"":""Okaloosa""},{""adm2_code"":29052,""adm2_name"":""Santa Rosa""},{""adm2_code"":29059,""adm2_name"":""Taylor""},{""adm2_code"":29062,""adm2_name"":""Wakulla""},{""adm2_code"":29063,""adm2_name"":""Walton""},{""adm2_code"":29064,""adm2_name"":""Washington""}]",2004-08-27,2023-09-25
2004-0448-USA,nat-met-sto-tro,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,"Richmond, Lynchburg, Chesterfield districts (Virginia province), South Carolina, North Carolina provinces",No,Yes,,Kph,2004,8,29.0,2004,8.0,30.0,7.0,,,,,62500.0,100823.0,62500.0,100823.0,61.98958593,"[{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm2_code"":31523,""adm2_name"":""Chesterfield""},{""adm2_code"":31571,""adm2_name"":""Lynchburg""},{""adm2_code"":31601,""adm2_name"":""Richmond""}]",2005-03-23,2023-09-25
2004-0455-USA,nat-met-sto-tro,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,"Martin, Palm Beach districts (Florida province), North Carolina, South Carolina, Ohio provinces",No,Yes,,Kph,2004,9,5.0,2004,9.0,5.0,47.0,,5000000.0,,5000000.0,5000000.0,8065871.0,11000000.0,17744916.0,61.98958593,"[{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm2_code"":29039,""adm2_name"":""Martin""},{""adm2_code"":29047,""adm2_name"":""Palm Beach""}]",2004-10-08,2023-09-25
2004-0462-USA,nat-met-sto-tro,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,"Alabama, Louisiana, Mississippi, Florida, Pennsylvania, Maryland, New Jersey, Ohio, North Carolina, West Virginia, Georgia, Tennessee provinces",No,Yes,,Kph,2004,9,15.0,2004,9.0,16.0,52.0,,,,,12000000.0,19358090.0,18000000.0,29037135.0,61.98958593,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3262,""adm1_name"":""West Virginia""}]",2006-10-11,2023-09-25
2004-0473-USA,nat-met-sto-tro,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Florida province,No,Yes,,Kph,2004,9,25.0,2004,9.0,26.0,6.0,,40000.0,,40000.0,4900000.0,7904554.0,8000000.0,12905394.0,61.98958593,"[{""adm1_code"":3223,""adm1_name"":""Florida""}]",2004-10-04,2023-09-25
2004-0502-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,Caroline district (Virginia province),No,No,,Kph,2004,9,8.0,2004,9.0,8.0,,,189.0,,189.0,,,2100.0,3388.0,61.98958593,"[{""adm2_code"":31517,""adm2_name"":""Caroline""}]",2004-10-05,2023-09-25
2004-0731-USA,nat-met-sto-hai,Meteorological,Storm,Hail,USA,United States of America,Northern America,"Arkansas, Illinois, Iowa, Indiana, Missouri, Oklahoma provinces",No,No,,Kph,2004,3,20.0,2004,3.0,21.0,9.0,14.0,,,14.0,200000.0,322635.0,,,61.98958593,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""}]",2005-03-23,2023-09-25
2005-0029-USA,nat-met-sto-bli,Meteorological,Storm,Blizzard/Winter storm,USA,United States of America,Northern America,"New York, Connecticut, Wisconsin, Ohio, Maryland, Massachusetts, Iowa provinces",No,No,,Kph,2005,1,22.0,2005,1.0,24.0,20.0,,,,,200000.0,312048.0,350000.0,546084.0,64.09274026,"[{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""}]",2006-03-07,2023-09-25
2005-0219-USA,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,USA,United States of America,Northern America,Rankin district (Mississippi province),No,Yes,,Kph,2005,4,6.0,2005,4.0,8.0,,8.0,45.0,51.0,104.0,,,350000.0,546084.0,64.09274026,"[{""adm2_code"":30139,""adm2_name"":""Rankin""}]",2006-01-06,2023-09-25
2005-0351-USA,nat-met-sto-tro,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,"Florida, Georgia provinces",No,Yes,,Kph,2005,7,10.0,2005,7.0,10.0,5.0,,,,,1115000.0,1739667.0,2230000.0,3479333.0,64.09274026,"[{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""}]",2005-07-24,2023-09-25
2005-0467-USA,nat-met-sto-tro,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",No,Yes,280.0,Kph,2005,8,29.0,2005,9.0,19.0,1833.0,,500000.0,,500000.0,60000000.0,93614347.0,125000000.0,195029889.0,64.09274026,"[{""adm1_code"":3223,""adm1_name"":""Florida""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm2_code"":28739,""adm2_name"":""Mobile""},{""adm2_code"":29826,""adm2_name"":""Orleans""},{""adm2_code"":29834,""adm2_name"":""St. Bernard""},{""adm2_code"":29842,""adm2_name"":""St. Tammany""},{""adm2_code"":30101,""adm2_name"":""Hancock""},{""adm2_code"":30102,""adm2_name"":""Harrison""},{""adm2_code"":30108,""adm2_name"":""Jackson""}]",2007-04-20,2023-09-25
2005-0530-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,Wisconsin province,No,No,,Kph,2005,8,18.0,2005,8.0,18.0,,,120.0,81.0,201.0,,,,,64.09274026,"[{""adm1_code"":3263,""adm1_name"":""Wisconsin""}]",2005-09-15,2023-09-25
2005-0547-USA,nat-met-sto-tro,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,"Louisiana, Texas, Mississippi provinces",No,Yes,280.0,Kph,2005,9,23.0,2005,10.0,1.0,10.0,,300000.0,,300000.0,11300000.0,17630702.0,16000000.0,24963826.0,64.09274026,"[{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2006-03-16,2023-09-25
2005-0585-USA,nat-met-sto-tro,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,"Florida Keys, Naples areas (Collier district, Florida province)",No,Yes,165.0,Kph,2005,10,24.0,2005,10.0,24.0,4.0,,30000.0,,30000.0,10350000.0,16148475.0,14300000.0,22311419.0,64.09274026,"[{""adm2_code"":29008,""adm2_name"":""Collier""}]",2005-11-17,2023-09-25
2005-0682-USA,nat-met-sto-bli,Meteorological,Storm,Blizzard/Winter storm,USA,United States of America,Northern America,"Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Idaho, Michigan, Minnesota, Montana, North Dakota, Oregon, South Dakota, Washington, Wisconsin, Wyoming provinces",No,No,,Kph,2005,12,8.0,2005,12.0,9.0,10.0,,,,,,,,,64.09274026,"[{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3233,""adm1_name"":""Maine""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3243,""adm1_name"":""New Hampshire""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3259,""adm1_name"":""Vermont""},{""adm1_code"":3261,""adm1_name"":""Washington""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2005-12-13,2023-09-25
2006-0128-USA,nat-met-sto-tor,Meteorological,Storm,Tornado,USA,United States of America,Northern America,"Missouri, Arkansas, Illinois, Indiana, Kansas, Oklahoma provinces",No,No,202.0,Kph,2006,3,11.0,2006,3.0,13.0,10.0,42.0,,,42.0,800000.0,1209184.0,1200000.0,1813776.0,66.16033056,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""}]",2008-03-29,2023-09-25
2006-0161-USA,nat-met-sto-hai,Meteorological,Storm,Hail,USA,United States of America,Northern America,"Tennessee, Illinois, Arkansas, Indiana, Oklahoma, Missouri, Kentucky, Iowa provinces",No,No,,Kph,2006,4,2.0,2006,4.0,3.0,28.0,36.0,3600.0,,3636.0,450000.0,680166.0,600000.0,906888.0,66.16033056,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3256,""adm1_name"":""Tennessee""}]",2007-03-09,2023-09-25
2006-0171-USA,nat-met-sto-hai,Meteorological,Storm,Hail,USA,United States of America,Northern America,"Sumner, Warren districts (Tennessee province), Alabama, Georgia, Indiana, Kansas, Kentucky, Ohio provinces",No,No,,Kph,2006,4,6.0,2006,4.0,8.0,12.0,160.0,465.0,,625.0,1280000.0,1934694.0,1600000.0,2418368.0,66.16033056,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm2_code"":31187,""adm2_name"":""Sumner""},{""adm2_code"":31193,""adm2_name"":""Warren""}]",2007-03-09,2023-09-25
2006-0257-USA,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,USA,United States of America,Northern America,"Tarrant, Bexar districts (Texas province)",No,No,,Kph,2006,5,1.0,2006,5.0,7.0,1.0,,600.0,,600.0,400000.0,604592.0,450000.0,680166.0,66.16033056,"[{""adm2_code"":31214,""adm2_name"":""Bexar""},{""adm2_code"":31419,""adm2_name"":""Tarrant""}]",2007-03-18,2023-09-25
